symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
INFY,SHORT,32,2025-09-19 09:30:00+05:30,1531.5404,2025-09-19 12:00:00+05:30,1522.1281,30119,6446,23673,Supertrend flipped down,target
RELIANCE,SHORT,35,2025-09-19 09:45:00+05:30,1407.4776,2025-09-19 15:15:00+05:30,1406.7219,2645,6456,-3811,Supertrend flipped down,intraday square-off
ICICIBANK,LONG,35,2025-09-22 13:15:00+05:30,1409.8228,2025-09-22 14:30:00+05:30,1401.0833,-30588,6451,-37039,Supertrend flipped up,stop-loss
HDFCBANK,LONG,51,2025-09-22 09:30:00+05:30,970.441,2025-09-22 14:45:00+05:30,961.7215,-44470,6451,-50921,Supertrend flipped up,stop-loss
RELIANCE,LONG,35,2025-09-23 14:15:00+05:30,1392.5176,2025-09-23 15:15:00+05:30,1389.0832,-12021,6434,-18455,Supertrend flipped up,intraday square-off
INFY,LONG,33,2025-09-23 13:45:00+05:30,1505.8516,2025-09-23 15:15:00+05:30,1497.3507,-28053,6464,-34517,Supertrend flipped up,intraday square-off
ICICIBANK,LONG,35,2025-09-25 09:30:00+05:30,1390.1169,2025-09-25 10:15:00+05:30,1377.9334,-42642,6424,-49066,Supertrend flipped up,stop-loss
INFY,LONG,33,2025-09-25 09:30:00+05:30,1497.5491,2025-09-25 12:30:00+05:30,1485.356,-40237,6450,-46687,Supertrend flipped up,stop-loss
HDFCBANK,LONG,52,2025-09-25 10:00:00+05:30,953.0358,2025-09-25 15:15:00+05:30,949.0152,-20907,6461,-27368,Supertrend flipped up,intraday square-off
INFY,SHORT,34,2025-09-26 09:30:00+05:30,1466.8598,2025-09-26 13:45:00+05:30,1455.8031,37593,6475,31118,Supertrend flipped down,target
RELIANCE,LONG,36,2025-09-26 11:30:00+05:30,1378.9136,2025-09-26 15:15:00+05:30,1375.3873,-12695,6465,-19160,Supertrend flipped up,intraday square-off
TCS,LONG,17,2025-09-29 09:45:00+05:30,2919.4756,2025-09-29 12:15:00+05:30,2897.7304,-36967,6458,-43425,Supertrend flipped up,Supertrend flipped down
RELIANCE,SHORT,36,2025-09-29 12:45:00+05:30,1374.0876,2025-09-29 15:15:00+05:30,1377.4131,-11972,6464,-18436,Supertrend flipped down,intraday square-off
HDFCBANK,LONG,52,2025-09-29 10:15:00+05:30,951.4854,2025-09-29 15:15:00+05:30,949.715,-9206,6461,-15667,Supertrend flipped up,intraday square-off
INFY,SHORT,34,2025-09-29 12:45:00+05:30,1443.6668,2025-09-29 15:15:00+05:30,1440.0319,12359,6449,5910,Supertrend flipped down,intraday square-off
ICICIBANK,LONG,36,2025-10-01 09:30:00+05:30,1355.4065,2025-10-01 10:00:00+05:30,1363.0872,27650,6448,21202,Supertrend flipped up,target
RELIANCE,LONG,36,2025-10-01 09:30:00+05:30,1375.1124,2025-10-01 14:00:00+05:30,1363.9907,-40038,6454,-46492,Supertrend flipped up,Supertrend flipped down
TCS,LONG,17,2025-10-01 12:00:00+05:30,2899.5696,2025-10-01 14:15:00+05:30,2912.2823,21612,6463,15149,Supertrend flipped up,target
HDFCBANK,SHORT,52,2025-10-03 09:30:00+05:30,957.3127,2025-10-03 15:15:00+05:30,965.5396,-42780,6479,-49259,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,36,2025-10-03 14:15:00+05:30,1363.091,2025-10-03 15:15:00+05:30,1365.6096,-9067,6450,-15517,Supertrend flipped down,intraday square-off
RELIANCE,LONG,36,2025-10-06 11:45:00+05:30,1369.6108,2025-10-06 13:30:00+05:30,1375.238,20258,6463,13795,Supertrend flipped up,target
ICICIBANK,LONG,36,2025-10-07 09:30:00+05:30,1374.4122,2025-10-07 10:00:00+05:30,1381.3827,25094,6471,18623,Supertrend flipped up,target
TCS,SHORT,16,2025-10-07 10:15:00+05:30,2962.1111,2025-10-07 15:15:00+05:30,2971.8913,-15648,6392,-22040,Supertrend flipped down,intraday square-off
INFY,SHORT,34,2025-10-07 12:30:00+05:30,1458.3624,2025-10-07 15:15:00+05:30,1455.1364,10968,6466,4502,Supertrend flipped down,intraday square-off
RELIANCE,SHORT,36,2025-10-08 10:15:00+05:30,1380.5857,2025-10-08 11:00:00+05:30,1371.783,31690,6471,25219,Supertrend flipped down,target
HDFCBANK,SHORT,51,2025-10-08 10:15:00+05:30,979.606,2025-10-08 15:15:00+05:30,978.4935,5674,6481,-807,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,36,2025-10-08 11:45:00+05:30,1367.8895,2025-10-08 15:15:00+05:30,1370.6111,-9798,6456,-16254,Supertrend flipped down,intraday square-off
RELIANCE,LONG,36,2025-10-09 09:30:00+05:30,1378.2133,2025-10-09 15:15:00+05:30,1377.6866,-1896,6467,-8363,Supertrend flipped up,intraday square-off
ICICIBANK,LONG,36,2025-10-09 11:15:00+05:30,1377.5131,2025-10-09 15:15:00+05:30,1375.0874,-8733,6465,-15198,Supertrend flipped up,intraday square-off
TCS,SHORT,16,2025-10-10 11:30:00+05:30,3013.4957,2025-10-10 15:15:00+05:30,3026.5077,-20819,6421,-27240,Supertrend flipped down,intraday square-off
HDFCBANK,LONG,50,2025-10-10 09:30:00+05:30,983.2449,2025-10-10 15:15:00+05:30,980.1559,-15445,6448,-21893,Supertrend flipped up,intraday square-off
INFY,SHORT,33,2025-10-13 09:45:00+05:30,1497.0508,2025-10-13 11:30:00+05:30,1486.3508,35310,6459,28851,Supertrend flipped down,target
RELIANCE,SHORT,36,2025-10-13 09:30:00+05:30,1372.3882,2025-10-13 15:00:00+05:30,1377.6132,-18810,6462,-25272,Supertrend flipped down,Supertrend flipped up
RELIANCE,SHORT,36,2025-10-14 12:45:00+05:30,1370.2888,2025-10-14 15:15:00+05:30,1375.7126,-19526,6460,-25986,Supertrend flipped down,intraday square-off
HDFCBANK,LONG,50,2025-10-15 10:30:00+05:30,981.6944,2025-10-15 15:15:00+05:30,978.7063,-14941,6445,-21386,Supertrend flipped up,intraday square-off
RELIANCE,LONG,36,2025-10-16 12:15:00+05:30,1383.815,2025-10-16 14:00:00+05:30,1388.4572,16712,6481,10231,Supertrend flipped up,target
ICICIBANK,SHORT,35,2025-10-20 09:30:00+05:30,1407.9775,2025-10-20 14:30:00+05:30,1393.5364,50544,6453,44091,Supertrend flipped down,target
INFY,LONG,34,2025-10-20 09:30:00+05:30,1458.9375,2025-10-20 15:15:00+05:30,1459.7619,2803,6468,-3665,Supertrend flipped up,intraday square-off
RELIANCE,SHORT,34,2025-10-23 11:30:00+05:30,1458.3624,2025-10-23 15:00:00+05:30,1447.8355,35791,6465,29326,Supertrend flipped down,target
TCS,SHORT,16,2025-10-24 13:45:00+05:30,3064.0805,2025-10-24 15:15:00+05:30,3064.319,-382,6449,-6831,Supertrend flipped down,intraday square-off
INFY,SHORT,32,2025-10-24 10:45:00+05:30,1520.5437,2025-10-24 15:15:00+05:30,1526.7579,-19885,6437,-26322,Supertrend flipped down,intraday square-off
ICICIBANK,LONG,36,2025-10-24 09:30:00+05:30,1375.4125,2025-10-24 15:15:00+05:30,1378.0864,9626,6467,3159,Supertrend flipped up,intraday square-off
RELIANCE,LONG,34,2025-10-27 09:30:00+05:30,1468.6405,2025-10-27 09:30:00+05:30,1477.9249,31567,6489,25078,Supertrend flipped up,target
HDFCBANK,LONG,49,2025-10-27 09:30:00+05:30,1002.1005,2025-10-27 10:15:00+05:30,1007.7378,27623,6458,21165,Supertrend flipped up,target
TCS,SHORT,16,2025-10-28 10:15:00+05:30,3069.079,2025-10-28 11:00:00+05:30,3055.5368,21668,6450,15218,Supertrend flipped down,target
HDFCBANK,SHORT,50,2025-10-28 11:00:00+05:30,996.351,2025-10-28 15:15:00+05:30,1004.5513,-41001,6479,-47480,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,36,2025-10-28 09:30:00+05:30,1362.891,2025-10-28 15:15:00+05:30,1365.4095,-9067,6450,-15517,Supertrend flipped down,intraday square-off
INFY,LONG,33,2025-10-29 09:30:00+05:30,1506.6519,2025-10-29 10:30:00+05:30,1514.8291,26985,6481,20504,Supertrend flipped up,target
TCS,LONG,16,2025-10-29 10:45:00+05:30,3068.9204,2025-10-29 15:15:00+05:30,3055.3831,-21660,6444,-28104,Supertrend flipped up,intraday square-off
HDFCBANK,LONG,49,2025-10-29 11:30:00+05:30,1008.3024,2025-10-29 15:15:00+05:30,1007.3477,-4678,6460,-11138,Supertrend flipped up,intraday square-off
ICICIBANK,LONG,36,2025-10-29 13:45:00+05:30,1370.311,2025-10-29 15:15:00+05:30,1369.589,-2599,6458,-9057,Supertrend flipped up,intraday square-off
INFY,SHORT,33,2025-10-30 09:30:00+05:30,1501.7493,2025-10-30 09:30:00+05:30,1495.1915,21641,6465,15176,Supertrend flipped down,target
RELIANCE,SHORT,33,2025-10-30 10:00:00+05:30,1492.752,2025-10-30 14:45:00+05:30,1484.9341,25799,6455,19344,Supertrend flipped down,target
