symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
INFY,LONG,33,2025-09-09 10:00:00+05:30,1487.9462,2025-09-09 15:15:00+05:30,1504.8484,55777,6466,49311,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,SHORT,51,2025-09-10 13:00:00+05:30,963.8108,2025-09-10 15:15:00+05:30,967.09,-16724,6453,-23177,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
HDFCBANK,LONG,51,2025-09-11 14:15:00+05:30,968.3404,2025-09-11 15:15:00+05:30,967.1098,-6276,6458,-12734,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,LONG,51,2025-09-12 11:45:00+05:30,968.8406,2025-09-12 15:15:00+05:30,967.6596,-6023,6460,-12483,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,LONG,35,2025-09-12 11:30:00+05:30,1411.4233,2025-09-12 15:15:00+05:30,1416.8748,19080,6466,12614,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
TCS,LONG,16,2025-09-16 10:45:00+05:30,3126.0375,2025-09-16 15:00:00+05:30,3141.4552,24668,6491,18177,"EMA20 crossed above EMA50, price above EMA200",target
HDFCBANK,LONG,51,2025-09-17 09:45:00+05:30,973.2919,2025-09-17 10:30:00+05:30,968.4673,-24606,6462,-31068,"EMA20 crossed above EMA50, price above EMA200",stop-loss
HDFCBANK,LONG,51,2025-09-18 09:30:00+05:30,976.6429,2025-09-18 13:00:00+05:30,971.2843,-27329,6467,-33796,"EMA20 crossed above EMA50, price above EMA200",stop-loss
ICICIBANK,SHORT,35,2025-09-19 09:30:00+05:30,1411.8763,2025-09-19 15:00:00+05:30,1400.8465,38604,6459,32145,"EMA20 crossed below EMA50, price below EMA200",target
RELIANCE,LONG,35,2025-09-19 14:30:00+05:30,1411.4233,2025-09-19 15:15:00+05:30,1405.8781,-19408,6455,-25863,"EMA20 crossed above EMA50, price above EMA200",EMA20 crossed below EMA50
HDFCBANK,SHORT,51,2025-09-19 11:15:00+05:30,965.7102,2025-09-19 15:15:00+05:30,968.0403,-11884,6456,-18340,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,SHORT,36,2025-09-29 13:00:00+05:30,1371.9883,2025-09-29 15:15:00+05:30,1377.4131,-19529,6462,-25991,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
TCS,SHORT,17,2025-10-03 11:30:00+05:30,2897.7304,2025-10-03 15:15:00+05:30,2901.7703,-6868,6457,-13325,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,SHORT,36,2025-10-06 12:15:00+05:30,1364.6905,2025-10-06 13:00:00+05:30,1367.8102,-11231,6452,-17683,"EMA20 crossed below EMA50, price below EMA200",EMA20 crossed above EMA50
ICICIBANK,LONG,36,2025-10-07 09:45:00+05:30,1377.9132,2025-10-07 15:15:00+05:30,1376.087,-6574,6465,-13039,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
RELIANCE,SHORT,36,2025-10-08 12:15:00+05:30,1368.8892,2025-10-08 15:15:00+05:30,1367.11,6405,6456,-51,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,SHORT,36,2025-10-08 12:30:00+05:30,1365.5902,2025-10-08 15:15:00+05:30,1370.6111,-18075,6454,-24529,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,LONG,36,2025-10-09 14:00:00+05:30,1379.3137,2025-10-09 15:15:00+05:30,1377.6866,-5858,6467,-12325,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,LONG,36,2025-10-09 11:45:00+05:30,1376.0127,2025-10-09 15:15:00+05:30,1375.0874,-3331,6465,-9796,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,LONG,50,2025-10-10 09:45:00+05:30,983.2449,2025-10-10 15:15:00+05:30,980.1559,-15445,6448,-21893,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
RELIANCE,SHORT,36,2025-10-13 10:30:00+05:30,1371.9883,2025-10-13 15:15:00+05:30,1375.1124,-11247,6462,-17709,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,SHORT,36,2025-10-14 13:00:00+05:30,1373.088,2025-10-14 15:15:00+05:30,1375.7126,-9449,6463,-15912,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,LONG,36,2025-10-14 14:15:00+05:30,1384.6153,2025-10-14 15:15:00+05:30,1384.2846,-1190,6478,-7668,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,LONG,50,2025-10-15 10:45:00+05:30,982.9448,2025-10-15 15:00:00+05:30,976.3311,-33068,6442,-39510,"EMA20 crossed above EMA50, price above EMA200",stop-loss
RELIANCE,LONG,36,2025-10-16 09:45:00+05:30,1380.514,2025-10-16 14:00:00+05:30,1389.4279,32090,6482,25608,"EMA20 crossed above EMA50, price above EMA200",target
TCS,SHORT,16,2025-10-17 14:30:00+05:30,2961.8112,2025-10-17 15:15:00+05:30,2963.7889,-3164,6391,-9555,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,LONG,34,2025-10-24 13:15:00+05:30,1458.9375,2025-10-24 13:30:00+05:30,1449.7922,-31094,6458,-37552,"EMA20 crossed above EMA50, price above EMA200",stop-loss
HDFCBANK,LONG,49,2025-10-27 12:15:00+05:30,1007.5522,2025-10-27 13:15:00+05:30,1000.9265,-32466,6451,-38917,"EMA20 crossed above EMA50, price above EMA200",stop-loss
RELIANCE,LONG,33,2025-10-27 09:45:00+05:30,1480.444,2025-10-27 15:15:00+05:30,1483.7547,10925,6445,4480,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,LONG,49,2025-10-28 09:45:00+05:30,1007.6022,2025-10-28 10:00:00+05:30,1000.3163,-35701,6450,-42151,"EMA20 crossed above EMA50, price above EMA200",stop-loss
HDFCBANK,LONG,49,2025-10-29 10:45:00+05:30,1005.0514,2025-10-29 15:15:00+05:30,1007.3477,11252,6459,4793,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
INFY,LONG,33,2025-10-29 11:15:00+05:30,1515.0544,2025-10-29 15:15:00+05:30,1509.547,-18174,6477,-24651,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,SHORT,36,2025-10-30 10:00:00+05:30,1362.0912,2025-10-30 15:15:00+05:30,1362.6087,-1863,6449,-8312,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
TCS,LONG,16,2025-10-31 11:45:00+05:30,3062.9186,2025-10-31 13:30:00+05:30,3046.4812,-26300,6441,-32741,"EMA20 crossed above EMA50, price above EMA200",stop-loss
TCS,SHORT,16,2025-11-03 10:15:00+05:30,3036.1889,2025-11-03 13:00:00+05:30,3014.1617,35243,6430,28813,"EMA20 crossed below EMA50, price below EMA200",target
HDFCBANK,SHORT,50,2025-11-04 14:15:00+05:30,988.3034,2025-11-04 15:15:00+05:30,984.2952,20041,6460,13581,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,LONG,33,2025-11-06 10:45:00+05:30,1495.7486,2025-11-06 15:15:00+05:30,1493.1519,-8569,6457,-15026,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
TCS,SHORT,16,2025-11-07 09:30:00+05:30,2972.0081,2025-11-07 14:45:00+05:30,2993.3992,-34226,6398,-40624,"EMA20 crossed below EMA50, price below EMA200",stop-loss
RELIANCE,LONG,33,2025-11-10 11:30:00+05:30,1499.4497,2025-11-10 14:45:00+05:30,1489.3643,-33282,6454,-39736,"EMA20 crossed above EMA50, price above EMA200",stop-loss
HDFCBANK,SHORT,50,2025-11-11 10:00:00+05:30,980.2558,2025-11-11 12:15:00+05:30,986.6737,-32089,6450,-38539,"EMA20 crossed below EMA50, price below EMA200",stop-loss
INFY,SHORT,33,2025-11-14 09:45:00+05:30,1511.6464,2025-11-14 13:00:00+05:30,1494.0933,57925,6474,51451,"EMA20 crossed below EMA50, price below EMA200",target
TCS,LONG,16,2025-11-17 12:45:00+05:30,3107.632,2025-11-17 15:15:00+05:30,3103.9685,-5862,6473,-12335,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,LONG,50,2025-11-17 09:45:00+05:30,991.2473,2025-11-17 15:15:00+05:30,996.5509,26518,6475,20043,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,LONG,36,2025-11-17 10:30:00+05:30,1379.4137,2025-11-17 15:15:00+05:30,1378.2864,-4058,6467,-10525,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
RELIANCE,LONG,32,2025-11-18 12:00:00+05:30,1521.9564,2025-11-18 15:15:00+05:30,1516.045,-18916,6432,-25348,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
TCS,LONG,16,2025-11-19 09:45:00+05:30,3121.4362,2025-11-19 10:45:00+05:30,3147.9747,42462,6493,35969,"EMA20 crossed above EMA50, price above EMA200",target
HDFCBANK,SHORT,50,2025-11-19 10:00:00+05:30,985.4043,2025-11-19 14:15:00+05:30,990.3711,-24834,6458,-31292,"EMA20 crossed below EMA50, price below EMA200",stop-loss
INFY,LONG,32,2025-11-19 10:15:00+05:30,1528.3584,2025-11-19 15:15:00+05:30,1541.0376,40573,6455,34118,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
