symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
RELIANCE,LONG,32,2025-11-24 11:30:00+05:30,1537.4611,2025-11-24 15:15:00+05:30,1534.9394,-8070,6452,-14522,uptrend pullback: RSI 32.2->37.5 crossed 35.0,intraday square-off
TCS,LONG,15,2025-11-25 09:30:00+05:30,3141.5422,2025-11-25 11:00:00+05:30,3124.4723,-25605,6374,-31979,uptrend pullback: RSI 33.0->39.0 crossed 35.0,stop-loss
RELIANCE,LONG,32,2025-11-27 14:00:00+05:30,1558.2673,2025-11-27 15:00:00+05:30,1565.932,24527,6486,18041,uptrend pullback: RSI 33.3->37.9 crossed 35.0,target
RELIANCE,SHORT,32,2025-12-08 09:30:00+05:30,1544.0366,2025-12-08 15:15:00+05:30,1544.9634,-2965,6461,-9426,downtrend rally: RSI 65.4->64.6 crossed 65.0,intraday square-off
TCS,LONG,15,2025-12-16 11:15:00+05:30,3202.8606,2025-12-16 15:15:00+05:30,3201.5393,-1982,6415,-8397,uptrend pullback: RSI 31.2->38.2 crossed 35.0,intraday square-off
INFY,LONG,30,2025-12-23 10:00:00+05:30,1661.8984,2025-12-23 15:15:00+05:30,1666.4999,13804,6482,7322,uptrend pullback: RSI 33.6->38.6 crossed 35.0,intraday square-off
INFY,LONG,30,2025-12-24 10:15:00+05:30,1662.9988,2025-12-24 15:15:00+05:30,1664.5005,4505,6480,-1975,uptrend pullback: RSI 34.2->46.3 crossed 35.0,intraday square-off
ICICIBANK,SHORT,37,2025-12-31 09:30:00+05:30,1344.8964,2025-12-31 15:15:00+05:30,1344.5032,1455,6475,-5020,downtrend rally: RSI 66.3->59.4 crossed 65.0,intraday square-off
INFY,SHORT,30,2026-01-01 12:15:00+05:30,1634.6095,2026-01-01 15:15:00+05:30,1629.7888,14462,6448,8014,downtrend rally: RSI 68.2->64.3 crossed 65.0,intraday square-off
INFY,SHORT,30,2026-01-07 09:45:00+05:30,1623.6128,2026-01-07 10:00:00+05:30,1634.5465,-32801,6440,-39241,downtrend rally: RSI 67.0->60.0 crossed 65.0,stop-loss
INFY,SHORT,31,2026-01-14 09:45:00+05:30,1600.2198,2026-01-14 13:45:00+05:30,1584.8625,47608,6464,41144,downtrend rally: RSI 65.3->60.2 crossed 65.0,target
ICICIBANK,LONG,35,2026-01-14 11:30:00+05:30,1427.6282,2026-01-14 13:45:00+05:30,1417.7486,-34579,6471,-41050,uptrend pullback: RSI 33.8->49.4 crossed 35.0,stop-loss
INFY,LONG,30,2026-01-20 14:00:00+05:30,1664.3992,2026-01-20 15:00:00+05:30,1657.1788,-21661,6475,-28136,uptrend pullback: RSI 34.5->35.5 crossed 35.0,stop-loss
RELIANCE,SHORT,35,2026-01-22 10:00:00+05:30,1414.0756,2026-01-22 11:00:00+05:30,1399.6104,50628,6460,44168,downtrend rally: RSI 65.9->64.7 crossed 65.0,target
TCS,SHORT,15,2026-01-22 10:30:00+05:30,3142.9568,2026-01-22 15:15:00+05:30,3152.8456,-14833,6383,-21216,downtrend rally: RSI 67.4->62.1 crossed 65.0,intraday square-off
ICICIBANK,SHORT,37,2026-01-23 13:30:00+05:30,1350.1948,2026-01-23 15:15:00+05:30,1344.7033,20319,6480,13839,downtrend rally: RSI 67.2->58.0 crossed 65.0,intraday square-off
RELIANCE,SHORT,35,2026-01-28 09:45:00+05:30,1397.0808,2026-01-28 15:15:00+05:30,1396.7189,1267,6443,-5176,downtrend rally: RSI 66.1->60.5 crossed 65.0,intraday square-off
TCS,SHORT,15,2026-02-01 12:30:00+05:30,3124.8623,2026-02-01 12:30:00+05:30,3149.4809,-36928,6375,-43303,downtrend rally: RSI 67.4->49.6 crossed 65.0,stop-loss
HDFCBANK,LONG,53,2026-02-01 12:45:00+05:30,931.1793,2026-02-01 15:00:00+05:30,922.4272,-46386,6446,-52832,uptrend pullback: RSI 34.0->44.9 crossed 35.0,stop-loss
